transcript_id,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBtr0350426,0,0,0,0,0,0,0,0,0,7,0
FBtr0350425,0,0,0,0,0,0,0,0,0,0,0
FBtr0215988,1129,1780,1429,1302,1695,1411,2197,1620,2173,788,1372
FBtr0357436,510,276,1053,347,333,466,667,170,274,465,667
FBtr0349478,42,27,15,33,20,18,13,20,17,4,18
FBtr0349479,0,0,0,0,0,0,0,0,0,132,0
FBtr0349472,1376,1242,848,1517,844,1097,1505,948,1095,1125,1368
FBtr0349473,0,0,0,0,0,0,0,0,0,0,0
FBtr0349470,374,410,357,345,362,448,406,334,355,275,330
FBtr0349471,260,318,207,196,175,210,247,226,224,210,217
FBtr0349476,233,248,326,420,39,326,312,525,301,741,653
FBtr0349477,0,7,0,0,125,0,8,17,49,0,0
FBtr0349474,2843,3138,2472,3042,3002,3100,5060,3961,5384,4084,4103
FBtr0349475,0,0,0,0,0,0,0,0,0,0,0
FBtr0364659,3,0,0,0,0,0,0,0,0,0,0
FBtr0364658,14,12,28,2,0,2,3,15,27,0,0
FBtr0364657,1078,1795,1318,1045,1855,896,1417,1003,1767,1420,1336
FBtr0364656,9667,10051,9262,9564,10749,12482,12116,10136,12439,10587,10344
FBtr0364655,18,136,4,103,55,70,30,5,71,39,58
FBtr0364654,1958,1905,1837,1596,1887,1487,2066,1919,2565,1430,1669
FBtr0364653,0,0,0,0,0,0,0,0,3,0,0
FBtr0364652,143,134,101,93,123,87,174,124,170,128,98
FBtr0364651,0,1,0,0,1,28,0,1,0,0,0
FBtr0364650,0,0,0,0,0,0,0,0,0,0,0
FBgn0182286,43,49,34,17,70,29,135,83,13,37,38
FBtr0365290,1130,955,1055,1333,1254,1548,1708,1001,1002,1278,1320
FBtr0365291,0,0,0,0,0,0,0,0,0,0,0
FBtr0365292,133,169,213,99,99,110,190,165,135,154,93
FBtr0365293,26389,29624,26493,24999,25148,30005,8348,8370,10885,6269,254
FBtr0365294,237,250,189,165,146,58,470,126,148,108,67
FBtr0221905,507,348,235,221,283,226,279,377,397,230,241
FBtr0365296,139,167,210,178,214,177,561,351,475,393,355
FBtr0365297,0,0,0,0,0,0,0,0,0,0,0
FBtr0365298,7837,9907,9169,7972,6845,8814,8943,6758,14670,8975,7421
FBtr0365299,0,0,156,87,215,69,177,244,82,99,82
FBgn0268555,6,12,0,19,1,10,16,18,22,8,14
FBgn0268557,1246,1035,960,1172,857,943,1114,1023,924,932,2
FBtr0220953,8,15,0,4,0,1,8,8,7,0,0
FBtr0359025,4,194,177,171,185,3,465,199,283,308,159
FBtr0220950,379,1031,391,639,2241,730,587,661,1134,645,880
FBtr0220957,2194,2137,1778,1659,1899,1309,2298,1826,2001,1283,1342
FBtr0220956,47,47,28,16,44,26,31,41,67,32,50
FBtr0220955,314,314,302,664,541,407,475,280,446,525,551
FBtr0220954,1143,1130,1058,1274,1296,1054,1639,1195,1488,1310,1022
FBtr0363528,4,0,0,0,0,4,0,0,0,4,0
FBtr0363529,147,109,123,28,35,20,568,358,506,594,587
FBtr0363524,3696,3845,4126,1618,1470,1053,1394,3517,3186,1188,1586
FBtr0363525,8912,4109,9515,3628,7973,9870,5950,4420,5510,3669,3551
FBtr0363526,303,232,208,208,217,203,314,239,363,230,208
FBtr0363527,54,109,98,158,136,80,210,111,103,138,122
FBtr0363520,5821,7579,6623,6135,6885,8084,8386,6827,8393,6791,6397
FBtr0363521,478,634,594,677,583,478,633,447,717,660,419
FBtr0363522,781,822,838,758,786,592,896,990,695,503,615
FBtr0363523,2016,2028,1907,10030,10386,9620,2831,2001,2479,13435,9349
FBtr0363296,0,0,0,0,0,0,0,0,0,3,0
FBtr0363297,3,124,91,104,100,2,177,65,206,111,8
FBtr0363294,5,0,1,4,1,0,2,3,0,0,0
FBtr0363295,0,0,0,0,0,0,0,491,0,0,0
FBtr0363292,3864,44,6173,24,4,11,11111,6691,7763,7,4
FBtr0363293,1645,1444,1086,1174,1229,2639,2592,1623,1496,2002,1614
FBtr0363290,7850,6245,6600,2901,3038,3193,10001,7388,10148,4644,2597
FBtr0363291,629,1116,786,605,383,0,942,864,286,356,334
FBtr0363298,28311,27833,25246,20709,23825,21490,27763,25514,24660,20843,15569
FBtr0363299,19,5,0,0,0,0,0,0,0,0,0
FBtr0360363,5027,6116,5076,4876,5128,5486,6766,5765,6943,5167,5287
FBtr0360362,0,0,0,0,0,0,0,0,0,0,4
FBtr0360361,0,0,0,0,0,0,66,0,11,0,0
FBtr0360360,148,154,166,232,373,143,159,170,169,124,138
FBtr0360367,720,694,698,815,892,1185,983,560,1043,1090,958
FBtr0360366,0,0,0,447,426,214,466,0,438,461,352
FBtr0360365,38,12,43,11,4,0,36,16,22,16,0
FBtr0360364,0,0,0,0,0,0,0,0,0,0,0
FBtr0360369,22,0,21,0,36,55,32,0,21,16,0
FBtr0360368,419,449,288,292,328,480,532,278,478,373,522
FBtr0359950,0,0,0,0,0,0,0,0,0,0,0
FBtr0359951,0,0,51,2,0,137,0,0,213,0,0
FBtr0359952,127,2382,1484,127,137,74,270,230,2511,83,1131
FBtr0359953,50,47,64,10,26,36,100,0,97,26,4
FBtr0359954,6925,7577,6967,6866,7345,7312,8886,6977,9280,6426,6701
FBtr0359955,208,200,220,104,152,121,226,224,209,72,77
FBtr0359956,16,23,293,14,294,288,293,28,251,264,247
FBtr0359957,5,466,530,557,2280,5209,4630,613,4584,504,3985
FBtr0359958,8,0,0,0,0,0,8,6,9,0,0
FBtr0359959,0,0,0,0,0,0,0,0,0,0,0
FBtr0225120,2629,2664,2380,1900,1722,1739,3157,2610,3251,1663,1844
FBtr0225123,75,116,39,97,146,167,127,92,103,203,155
FBtr0225122,0,0,0,0,0,0,0,0,0,0,0
FBtr0225124,77,70,77,109,162,183,114,68,117,123,134
FBtr0225129,6,7,10,0,0,3,12,11,16,2,0
FBtr0225128,6759,8061,6246,16278,17607,14362,7955,5380,8692,13756,13708
FBtr0224650,4,0,0,6,0,0,0,0,0,4,0
FBtr0220570,50753,46314,41386,46513,46916,35971,60678,49384,53714,35251,38788
FBtr0220572,2603,2452,2398,2356,2499,1740,4171,2832,3659,1995,2256
FBtr0220577,25,23,5,13,7,12,33,27,9,5,10
FBtr0220578,6740,6308,5697,6613,7698,6444,8807,6905,8396,7317,7252
FBtr0212254,283,221,173,176,191,282,316,234,235,242,216
FBtr0212253,737,626,672,1127,1236,1009,1114,646,1120,1424,1161
FBtr0212252,44,0,0,1,0,0,15,0,0,0,0
FBtr0212259,23,0,0,4,0,2,0,0,0,0,0
FBtr0212258,0,0,0,0,0,0,0,0,0,0,0
FBtr0361104,0,0,0,3,0,0,4,0,0,0,0
FBtr0361105,3355,3421,3072,3663,3558,3031,4575,3083,4576,3436,3117
FBtr0361106,13179,21878,3766,29454,16266,18784,7784,9208,4288,23890,19644
FBtr0361107,1001,2212,1003,1509,1139,984,2914,1218,2527,919,718
FBtr0361100,164,323,251,92,176,88,222,240,278,174,101
FBtr0361101,0,1,758,2,2,5,289,869,202,2,260
FBtr0361102,45,18,0,0,0,0,1,0,0,0,0
FBtr0361103,167,269,110,2,3,6,47,21,35,4,8
FBtr0361108,1594,1418,1091,974,892,644,1563,1377,529,664,595
FBtr0361109,37103,32801,29904,40556,41767,32191,46165,33840,42213,26865,29832
FBtr0223001,202,127,200,274,233,172,279,79,186,188,167
FBtr0223004,85,42,22,0,4,17,23,20,30,28,12
FBtr0223005,0,0,0,0,0,0,0,0,0,4,0
FBtr0223007,0,0,8,0,0,0,0,0,0,0,0
FBtr0223008,0,0,0,0,0,0,0,0,0,0,0
FBtr0223009,0,0,0,0,0,0,0,0,0,4,8
FBtr0358292,0,1,2,0,0,0,0,0,0,0,0
FBtr0348819,0,0,4,0,0,5,18,0,12,0,0
FBtr0224388,0,0,0,0,0,0,0,0,0,0,0
FBtr0348818,57,145,110,58,71,20,147,100,110,74,63
FBtr0350850,26,245,0,0,0,0,21,22,0,0,0
FBtr0224383,5388,5007,4521,5078,5245,4016,6977,5110,6718,4229,4697
FBtr0224380,146,190,232,166,115,81,180,107,124,62,66
FBtr0224384,233,252,259,222,297,355,26,36,47,22,37
FBtr0351068,2657,3083,2414,2426,2639,2583,3105,2879,3390,2428,2608
FBtr0351069,142,110,134,36,29,30,231,187,214,21,26
FBtr0362459,1363,1393,1231,1209,1374,1507,1777,1644,2114,1334,1672
FBtr0362458,32,0,2,0,0,0,0,33,0,7,0
FBtr0362453,1804,1942,1554,1645,1693,1367,2349,1747,2263,1560,1582
FBtr0362452,320,369,407,537,505,469,383,360,422,434,238
FBtr0362451,4,4,8,7,0,0,0,0,10,0,0
FBtr0362450,0,0,0,0,0,0,0,0,0,0,0
FBtr0362457,31172,31098,24881,10513,19827,10056,14247,19234,59912,4506,6868
FBtr0362456,0,0,0,0,0,0,0,0,0,23,31
FBtr0362455,0,0,0,0,0,0,0,0,0,0,0
FBtr0362454,11319,15429,13213,8630,10064,11817,14274,10670,14245,10802,8945
FBtr0213617,2781,5677,4778,4136,3862,4577,6640,5967,6782,4284,4414
FBtr0213615,15,4,0,4,5,0,9,0,0,0,0
FBtr0213613,1519,0,1153,929,0,1243,827,2212,2543,0,0
FBtr0213610,0,255,288,152,137,146,371,212,294,130,134
FBtr0213611,57,115,81,132,85,0,0,0,0,0,58
FBtr0214963,15,17,8,38,28,39,20,24,10,25,38
FBtr0214962,203,191,303,235,454,212,222,339,174,167,170
FBtr0214967,479,524,434,552,501,273,729,579,693,500,373
FBtr0214966,24,46,25,20,29,51,5,15,21,61,27
FBtr0214968,1111,1183,959,1186,1334,1027,1695,1277,1582,1283,1244
FBtr0352906,6070,6897,6699,4249,4645,4954,6924,6069,7673,4140,3897
FBtr0222068,405,485,447,413,603,385,650,501,452,419,536
FBtr0352904,783,857,756,425,452,530,1019,771,1010,443,489
FBtr0352905,3965,4142,3091,1340,1114,1528,4799,2130,3227,1223,872
FBtr0352902,0,0,0,0,0,0,0,0,4,0,0
FBtr0352903,0,0,0,0,0,0,0,0,0,0,0
FBtr0352900,17232,23965,14514,21829,23684,17929,18289,16822,19901,16574,12565
FBtr0352901,0,0,0,0,0,0,0,0,0,0,0
FBtr0222063,1728,1783,1337,2088,1793,3176,2287,1982,2287,2339,2276
FBtr0352908,1902,2118,1627,1848,1781,2141,2107,1727,2834,1889,2088
FBtr0222066,6583,7029,6393,6645,7521,6783,10033,8055,9743,6749,6466
FBtr0218194,1669,1904,1570,1403,1321,1217,2369,1893,2202,1496,1350
FBtr0218195,308,362,230,4,178,287,1,191,180,293,265
FBtr0218197,251,153,244,86,103,66,301,210,290,81,81
FBtr0218191,1246,1331,1306,1604,1343,1119,2527,1631,2034,1267,1167
FBtr0218192,2555,2414,1828,1590,1506,1054,2973,1836,2111,1202,1311
FBtr0218193,2130,2270,2012,1894,1826,1450,3046,2358,2857,1803,1706
FBtr0218198,23819,26214,21814,19775,21423,19410,27722,22853,29032,18449,18130
FBtr0219829,15273,14165,10462,11254,13626,25708,26753,13371,16111,14187,22536
FBtr0219827,693,718,649,768,748,604,965,803,942,788,672
FBtr0219826,912,938,721,897,1092,731,1306,978,1168,881,1038
FBtr0219825,5182,5259,4724,4869,4921,4186,8135,6538,8017,4991,5191
FBtr0219824,138,230,193,64,86,24,152,119,203,41,38
FBtr0219821,399,435,317,363,359,248,588,438,616,346,335
FBtr0214349,7,0,0,0,0,0,0,0,0,0,0
FBtr0357998,4008,3962,3712,3680,3706,3378,5718,4160,5380,3818,3582
FBtr0357999,150962,147273,131290,161364,173848,151159,189085,146173,192779,146305,148387
FBtr0357996,409,537,528,559,601,338,1035,584,589,519,926
FBtr0357997,11190,11846,10451,9557,10277,11174,11914,10093,12096,9726,7814
FBtr0357994,0,0,0,0,0,0,0,0,0,0,0
FBtr0357995,6,20,20,14,0,3,17,12,0,7,6
FBtr0214341,4428,5055,4221,3849,4696,3926,6191,4893,6142,3533,3736
FBtr0357993,132,41,125,77,148,89,126,136,47,20,91
FBtr0357990,2524,1498,1425,3047,2497,2269,3539,2385,4065,2654,2946
FBtr0357991,107,156,36,34,40,105,93,30,39,22,34
FBtr0350412,274,384,368,600,619,797,349,464,390,478,382
FBtr0350413,94,101,63,608,68,767,257,125,840,95,81
FBtr0350410,189,442,86,353,347,253,104,0,215,460,0
FBtr0350411,0,25,0,0,0,0,0,17,47,0,25
FBtr0350416,0,4,4,6,12,0,0,0,4,16,0
FBtr0350417,18,15,31,19,23,15,28,19,29,7,7
FBtr0350414,11,17,11,15,8,17,20,17,14,7,17
FBtr0350415,247,892,1151,226,1436,300,244,256,241,207,231
FBtr0350418,4032,4557,3402,4403,4596,4966,5113,4311,5700,3089,3741
FBtr0350419,1222,1184,1009,1209,1273,1204,1347,1518,1335,1453,1598
FBtr0354425,0,0,0,4,6,0,0,0,14,8,0
FBtr0358778,11813,12459,11050,11055,12730,13330,14874,12611,15644,12330,12667
FBtr0358958,255,369,335,478,489,340,451,362,445,361,249
FBtr0211441,2351,2936,2670,2878,2816,2228,3470,2876,3587,2234,2439
FBtr0211440,906,992,876,1123,987,875,1476,974,1264,911,877
FBtr0211443,171,153,158,210,235,70,95,152,0,197,0
FBtr0211445,0,0,0,0,5,0,0,0,0,0,0
FBtr0211444,2337,2366,2118,2026,1819,1691,3410,2536,3231,1884,1986
FBtr0211447,21,5,11,12,10,14,8,8,17,18,0
FBtr0211446,17823,18841,16503,16050,18059,17600,21101,18510,20848,15671,12904
FBtr0211448,0,0,3,0,0,0,0,0,0,0,3
FBtr0220969,1729,2284,1662,1437,1388,1211,3159,1986,2452,1572,1089
FBtr0219319,18,8,28,0,0,4,4,3,12,0,0
FBtr0220962,20502,20887,17761,18423,21383,18012,22540,19960,22711,17579,15995
FBtr0219314,2122,2208,2015,2293,2263,1731,2664,2172,2835,2025,1924
FBtr0219317,2284,3022,2425,2654,2951,2650,3372,2523,3261,2662,2752
FBtr0219311,4419,5058,4327,4983,5219,4766,6444,4841,6196,4908,5007
FBtr0219310,225,64,62,1243,993,680,63,67,80,1297,903
FBtr0220964,301,389,421,295,451,371,390,337,452,386,368
FBtr0219312,16,15,0,0,8,0,0,0,0,12,4
FBtr0358775,0,0,3,17,0,0,0,0,5,0,0
FBtr0358774,61,43,58,58,42,63,108,28,81,34,37
FBtr0225248,189,934,435,451,164,681,640,1182,991,193,536
FBtr0225249,62,29,18,8,30,16,61,36,12,22,27
FBtr0225240,1007,970,886,1147,999,846,1349,1072,1332,925,916
FBtr0225241,0,0,0,0,0,0,0,0,0,0,0
FBtr0225242,0,0,0,0,0,0,0,0,0,0,0
FBtr0225243,1598,1630,1284,1447,1547,1411,2165,1658,2263,1524,1349
FBtr0225244,0,0,0,0,0,0,0,0,0,0,0
FBtr0225245,0,0,0,0,0,0,0,0,0,0,0
FBtr0356717,1630,1346,1387,1026,1497,1006,2346,1916,2190,1523,1319
FBtr0356716,14156,13317,11795,13142,14600,12164,18475,14266,17401,12809,13159
FBtr0356715,0,0,0,0,0,0,0,0,12,4,0
FBtr0356714,3557,2962,2810,1910,1814,1692,3622,2758,3370,1688,1775
FBtr0356713,0,0,0,0,0,0,0,0,0,0,0
FBtr0356712,2174,1228,2293,2414,2933,1976,3566,2606,3336,2673,3157
FBtr0356711,0,1014,31,0,52,0,1640,1184,967,1047,1205
FBtr0356710,711,855,698,712,634,906,1072,731,809,681,609
FBtr0356719,351,515,615,379,491,539,358,389,363,805,346
FBtr0356718,12,18,0,4,0,11,14,15,11,19,4
FBtr0215927,7428,8091,6820,8725,9527,12115,10397,8755,10065,10382,9109
FBtr0215925,45515,45330,40163,45798,52782,44371,55371,45318,55784,41094,37289
FBtr0215923,231513,225673,108245,116596,130800,201059,186359,139341,346825,230075,133095
FBtr0212930,1486,1486,1378,1508,1708,1171,2449,1814,2331,1424,1468
FBtr0212931,978,1071,960,1007,1076,858,1421,1093,1302,895,913
FBtr0216693,6595,7410,6748,7169,8331,7394,11255,8419,11013,7381,7146
FBtr0216692,26,30,29,0,7,0,29,13,28,4,7
FBtr0212934,0,0,0,0,0,0,2,0,0,0,0
FBtr0212935,1470,1359,1138,1301,1651,1510,1556,1242,1525,1499,1508
FBtr0354418,269,331,337,204,125,202,443,435,391,114,129
FBtr0354419,20,6,15,25,4,15,18,27,19,0,13
FBtr0354416,4653,5395,3788,2833,3042,2443,5563,3835,5617,2715,2452
FBtr0212939,661,1897,795,857,358,1101,912,659,608,678,1052
FBtr0354414,1675,1888,1413,1471,1624,1604,1471,1572,1438,1455,1058
FBtr0354415,982,920,655,58,539,624,1158,1167,888,47,501
FBtr0354412,0,0,0,0,0,0,0,0,0,0,0
FBtr0354413,3,18,0,0,3,3,0,6,0,18,4
FBtr0354410,116,81,49,166,113,186,133,103,65,144,204
FBtr0354411,19841,17614,13226,16516,16566,20010,18432,16712,14364,16492,12841
FBtr0358742,3082,439,585,433,610,968,445,818,578,3672,746
FBtr0358743,78,91,214,0,0,236,0,0,0,0,0
FBtr0353293,0,0,0,0,0,0,0,0,0,0,0
FBtr0353292,2848,2830,2216,5131,5402,1936,3842,4275,5913,896,1730
FBtr0353295,0,0,0,0,0,0,0,0,0,0,0
FBtr0358747,7,3,9,0,0,2,6,0,11,0,0
FBtr0358744,37,31,44,28,28,31,8,9,42,4,16
FBtr0353296,0,0,8,0,0,0,0,3,0,0,0
FBtr0353299,365,377,383,223,235,338,423,336,437,261,221
FBtr0353298,18184,12807,19054,16765,16908,19227,23325,19698,22196,17384,14844
FBtr0358748,0,0,0,0,0,0,0,0,0,0,0
FBtr0358749,58,64,39,9,1,18,1,23,32,138,2
FBtr0220032,20,0,0,0,5,0,0,0,2,0,8
FBtr0220034,3,0,4,0,0,0,0,0,0,0,4
FBtr0220035,8,0,0,0,4,0,0,0,7,0,0
FBtr0220037,11026,13516,12055,12129,13463,14823,14633,13004,15840,13642,11780
FBtr0353879,0,0,0,0,0,0,0,0,0,0,0
FBtr0353878,5,13,13,28,20,17,13,0,12,13,39
FBtr0353875,323,315,294,305,341,319,267,280,279,229,214
FBtr0353874,0,0,0,0,0,0,0,0,0,0,0
FBtr0353877,12,6,0,0,0,0,0,0,0,0,0
FBtr0353876,0,0,0,0,0,0,0,0,0,0,0
FBtr0353871,101,83,40,85,89,12,60,78,92,53,85
FBtr0353870,15776,19646,14452,20116,16516,20216,23312,17212,22518,16293,15029
FBtr0353873,91800,115794,96841,100559,91810,112275,112132,93845,104673,79613,82885
FBtr0353872,0,0,0,0,0,0,0,0,0,0,0
FBtr0357149,0,0,0,0,0,0,0,0,0,0,0
FBtr0357148,5331,6790,6348,5251,6671,4813,3633,6496,7811,6013,5817
FBtr0357145,4469,4979,4575,4554,5482,3893,7019,5179,6768,4337,4583
FBtr0357144,127,204,107,45,52,0,310,256,355,65,67
FBtr0357147,320,318,199,228,521,0,405,253,408,139,42
FBtr0357146,376,402,260,113,128,101,393,404,239,120,139
FBtr0357141,294,404,400,576,564,569,391,335,477,505,578
FBtr0357140,58,112,72,75,126,121,95,40,97,132,172
FBtr0357143,14058,15968,13636,10509,11837,12047,17037,15229,18899,10853,10918
FBtr0357142,0,0,0,0,0,0,0,0,0,0,0
FBtr0218834,2708,2510,1886,371,391,291,3253,2408,2894,391,409
FBtr0349788,187,209,169,155,156,123,282,226,188,150,109
FBtr0349789,39,67,70,122,50,139,52,43,53,62,79
FBtr0349784,11,0,0,0,0,0,0,0,0,0,0
FBtr0349785,1093,1081,1146,0,0,934,1405,1085,1132,617,0
FBtr0349786,11,0,0,0,1,8,10,4,225,0,141
FBtr0349787,435,305,360,810,1189,665,472,256,704,840,116
FBtr0349780,0,1,0,72,0,164,276,32,6,0,217
FBtr0349781,5,0,5,6,0,4,9,5,9,5,17
FBtr0349782,0,0,0,0,0,0,0,0,0,0,0
FBtr0218838,12,0,10,0,0,0,12,16,13,10,14
FBtr0355437,646,610,660,317,351,419,744,595,668,373,508
FBtr0355436,1983,1943,1961,1983,1867,1587,3057,2396,3145,2069,2239
FBtr0355435,14637,16809,14591,15864,16500,16620,17122,14069,18940,16407,15516
FBtr0355434,0,0,0,0,0,0,0,0,0,0,114
FBtr0355433,0,0,0,0,0,0,0,0,0,0,0
FBtr0355432,0,0,0,0,0,0,0,0,6,0,0
FBtr0355431,453,579,613,381,381,512,804,569,761,412,472
FBtr0355430,120556,151667,139547,121020,130355,135000,164631,142285,149295,119576,104930
FBtr0355439,402,2239,1351,1894,2673,2483,1040,2120,1550,695,1409
FBtr0355438,1510,125,1411,331,340,372,1802,1360,1711,210,295
FBtr0220143,0,0,0,0,0,0,0,0,0,0,0
FBtr0348660,1125,1317,1261,1256,1669,1265,1435,1154,1450,977,999
FBtr0348661,11,12,5,0,25,37,25,24,5,12,26
FBtr0348662,2729,1435,2142,2527,1601,2683,2078,3783,4164,2532,2663
FBtr0348663,0,0,0,0,0,0,0,0,0,0,0
FBtr0348664,0,0,5,0,0,0,0,0,0,0,6
FBtr0348665,0,11,0,0,0,0,21,10,35,11,0
FBtr0348666,11,22,51,55,17,65,43,40,36,9,43
FBtr0348667,17594,17260,14391,12498,12480,10302,19353,13410,18693,11975,12844
FBtr0348668,0,0,3,2,0,0,0,0,0,4,0
FBtr0348669,0,1056,0,0,0,0,2713,0,1429,0,7
FBtr0354526,57,0,0,0,0,17,0,32,43,0,0
FBtr0225860,45666,46124,40360,28819,30333,23220,55317,46129,51129,24683,24054
FBtr0221523,3888,4148,3681,4288,4543,4315,4703,3565,4743,4376,4217
FBtr0225863,0,297,0,552,428,418,0,285,0,462,392
FBtr0221524,6726,6692,5437,5812,6318,5542,6675,5816,7092,5554,4869
FBtr0349209,0,1030,763,1001,590,1002,863,424,792,620,422
FBtr0349208,22,40,41,29,32,27,44,33,34,26,19
FBtr0364196,446,462,448,5,1,135,525,317,502,0,0
FBtr0364197,0,0,0,13,14,0,0,0,4,6,0
FBtr0364190,1124,1366,2798,1279,1225,3905,1483,1084,1502,1182,942
FBtr0364191,946,731,799,349,393,366,942,659,919,346,380
FBtr0364192,4,6,0,0,0,0,0,7,1,3,8
FBtr0364193,0,0,0,0,0,0,0,0,0,0,0
FBtr0349201,0,0,1,0,0,0,0,0,0,0,0
FBtr0349200,4097,3827,3773,2376,2865,2135,4737,4104,5176,2955,1922
FBtr0349203,248,456,636,593,645,543,721,402,928,412,468
FBtr0349202,42197,49471,38891,39480,44768,52293,43754,47680,38451,39606,29037
FBtr0364198,2,18,0,6,0,6,4,16,5,0,1
FBtr0364199,6329,6055,5425,5580,6337,5288,7386,5872,7372,5357,5331
FBtr0349207,423,525,129,417,530,521,211,132,153,845,381
FBtr0349206,0,0,0,0,0,0,0,0,0,0,0
FBtr0364448,0,4,0,0,0,0,0,0,0,0,8
FBtr0364449,4963,6114,5231,4039,4143,4847,5760,5793,6826,4233,4281
FBtr0364446,106,135,109,110,39,183,87,126,181,85,94
FBtr0364447,13332,13709,11314,12852,12737,13941,15254,2135,15076,12229,9774
FBtr0364444,0,0,0,0,0,0,0,2,0,0,0
FBtr0364445,0,0,0,0,0,0,0,232,0,0,0
FBtr0364442,13,8,0,0,0,0,0,4,4,0,0
FBtr0364443,31,31,9,35,15,4,47,49,37,0,0
FBtr0364440,1473,1841,1427,1596,1697,1637,2818,2408,2911,2090,2046
FBtr0364441,0,0,55,0,59,0,229,0,64,41,0
FBtr0363876,10,6,3,2,8,14,17,8,21,4,4
FBtr0363877,365,466,322,476,299,417,500,428,490,486,340
FBtr0363874,382,553,342,80,118,121,204,260,280,181,149
FBtr0363875,4,0,0,2,0,0,4,0,7,0,4
FBtr0363872,0,0,0,0,4,0,0,0,0,3,3
FBtr0363873,0,0,0,0,0,0,0,0,0,0,0
FBtr0363870,320,306,291,352,337,369,226,234,266,258,322
FBtr0363871,47,505,56,475,58,396,52,400,83,89,387
FBtr0363878,759,482,1482,487,1145,812,614,678,1247,1196,1428
FBtr0363879,5294,6101,5245,4346,4394,4276,7718,5985,7716,4652,4503
FBtr0365319,84263,88232,76240,91489,99001,86765,116382,90009,115532,101863,94540
FBtr0365318,793,1319,1087,529,565,1127,1189,1067,763,638,777
FBtr0365315,0,0,0,0,0,0,0,0,0,0,0
FBtr0365314,146,4,14,9,3,35,9,0,0,12,10
FBtr0365317,485,513,394,297,329,355,605,546,508,314,223
FBtr0365316,10923,12687,12353,10867,12143,9763,13914,12400,11687,8385,6361
FBtr0365311,10,0,0,0,0,0,4,0,0,0,0
FBtr0365310,491,503,572,547,297,572,543,550,948,655,688
FBtr0365313,0,0,0,66,0,0,47,1,7,28,0
FBtr0365312,0,1490,0,0,0,0,0,0,3147,3130,0
FBtr0351121,4960,5526,5335,5251,5761,4891,7594,5790,7454,5401,5429
FBtr0351120,8413,1104,463,7657,8124,8423,10324,8245,11146,7958,7772
FBtr0351123,0,0,0,0,0,0,5,0,0,84,0
FBtr0351122,26456,28799,24705,26468,28725,37619,34575,26432,24207,29719,28556
FBtr0351125,98,158,141,480,644,545,207,125,137,575,449
FBtr0351124,1737,2043,1720,1606,1859,1844,2383,1910,2599,1627,2077
FBtr0351127,160,203,207,0,130,44,156,211,208,0,64
FBtr0351126,7543,8104,7480,8361,8526,7380,11484,8258,11370,8805,8846
FBtr0351129,11,161,191,303,90,268,350,17,136,9,5
FBtr0351128,0,0,0,0,0,0,86,0,0,0,0
FBtr0215306,65,54,47,13,0,25,54,41,72,15,20
FBtr0215304,34,36,13,14,18,21,48,38,40,7,30
FBtr0349550,0,0,0,0,0,0,0,0,0,0,0
FBtr0215303,1882,1930,1842,2210,2287,1999,3041,2438,2846,1795,2062
FBtr0215301,35,8,66,20,137,12,63,34,10,13,0
FBtr0362048,12,0,10,0,4,5,23,3,7,5,0
FBtr0362049,1088,836,758,718,980,700,1505,1082,1450,707,857
FBtr0362044,277,467,213,0,126,0,102,348,232,0,0
FBtr0362045,88,95,96,83,101,113,121,197,240,99,76
FBtr0362046,510,627,537,516,445,585,761,583,641,516,412
FBtr0362047,594,320,436,228,297,323,339,597,730,247,234
FBtr0362040,460,620,487,555,540,519,1024,598,1259,879,726
FBtr0362041,5,0,4,0,0,0,0,0,0,0,0
FBtr0362042,0,0,0,0,0,0,522,175,282,0,465
FBtr0362043,418,447,432,468,537,474,576,370,517,553,353
FBtr0216877,1,0,1,4,0,1,1,1,0,5,0
FBtr0350650,14121,122,102,14790,136,20639,17305,124,17611,15794,17096
FBtr0350651,4260,3700,3429,4369,3966,4855,4542,3138,4236,3118,3480
FBtr0350652,3976,4219,3529,3610,3950,3208,5397,4168,5226,3867,3863
FBtr0350653,809,1456,978,893,867,1110,933,696,944,1106,822
FBtr0350654,4402,4991,6254,5091,4683,2631,5890,3617,4674,492,1440
FBtr0350655,341,81,286,270,115,174,317,93,83,152,170
FBtr0350656,0,0,0,0,0,5,0,0,4,6,0
FBtr0350657,6082,6025,5090,5472,5263,4114,8149,5786,6979,4684,5236
FBtr0350658,1442,1524,1292,1129,1465,1184,1797,1439,1937,1262,1024
FBtr0350659,3274,2283,3076,1170,2760,1635,3408,2976,2303,1362,1086
FBtr0350388,755,857,972,910,2699,812,1022,526,1391,1064,1109
FBtr0350389,11479,11319,10794,9757,9321,7988,16115,12279,15473,9752,9324
FBtr0350382,5,3,0,0,0,4,0,0,0,0,0
FBtr0350383,0,0,0,0,0,0,0,0,0,0,0
FBtr0350380,0,0,0,0,0,0,0,0,0,0,0
FBtr0350381,0,0,0,0,0,0,0,0,0,0,0
FBtr0350386,0,0,0,0,0,0,0,0,0,0,0
FBtr0350387,0,0,0,0,0,0,0,0,0,0,0
